# text = vascular membrane that lines the inner surface of long bones
# id = 05319144-n-1
# type = def
1	vascular	wf	JJ	vascular%3	vascular%3:01:00::	auto	0:8
3	_	glob|a	_	red_blood_cell%1	red_blood_cell%1:08:00::	auto	_
4	red	cf|a	JJ	red%1|red%3	_	un	12:15
5	blood	cf|a	NN	blood%1|blood%2	_	un	16:21
6	cell	cf|a	NN	cell%1	_	un	22:26
7	that	wf	WDT	that	_	ignore	27:31
8	has	wf	VBZ	have%2	_	un	32:35
9	a	wf	DT	a	_	ignore	36:37
10	crescent	wf	JJ	crescent%1|crescent%3	crescent%5:00:00:rounded:00	man	38:46
11	shape	wf	NN	shape%1|shape%2	shape%1:09:00::	man	47:52
12	and	wf	CC	and	_	ignore	53:56
13	an	wf	DT	an	_	ignore	57:59
14	abnormal	wf	JJ	abnormal%3	_	un	60:68
15	form	wf	NN	form%1|form%2	form%1:09:01::	man	69:73
16	of	wf	IN	of	_	ignore	74:76
17	hemoglobin	wf	NN	hemoglobin%1	hemoglobin%1:27:00::	auto	77:87

# text = a small yellowish central area of the retina that is rich in cones and that mediates clear detailed vision
# id = 05455690-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	small	wf	JJ	small%1|small%3|small%4	_	un	2:7
3	yellowish	wf	JJ	yellowish%3	yellowish%5:00:00:chromatic:00	auto	8:17
4	central	wf	JJ	central%1|central%3	central%3:00:01::	man	18:25
5	area	wf	NN	area%1	area%1:08:00::	man	26:30
6	of	wf	IN	of	_	ignore	31:33
7	the	wf	DT	the	_	ignore	34:37
8	retina	wf	NN	retina%1	retina%1:08:00::	auto	38:44
9	that	wf	WDT	that	_	ignore	45:49
10	is	wf	VBZ	i%1|be%2	_	un	50:52
11	rich	wf	JJ	rich%1|rich%3	_	un	53:57
12	in	wf	IN	in	_	ignore	58:60
13	cones	wf	NNS	cone%1|cone%2	cone%1:08:00::	man	61:66
14	and	wf	CC	and	_	ignore	67:70
15	that	wf	WDT	that	_	ignore	71:75
16	mediates	wf	VBZ	mediate%2	_	un	76:84
17	clear	wf	JJ	clear%1|clear%2|clear%3|clear%4	_	un	85:90
18	detailed	wf	JJ	detail%2|detailed%3	_	un	91:99
19	vision	wf	NN	vision%1	vision%1:09:02::	man	100:106

# text = cells composed of fat
# id = 05456622-n-1
# type = def
1	cells	wf	NNS	cell%1	cell%1:03:00::	man	0:5
2	composed	wf	VBN	compose%2|composed%3	_	un	6:14
3	of	wf	IN	of	_	ignore	15:17
4	fat	wf	NN	fat%1|fat%2|fat%3	fat%1:08:00::	man	18:21

# text = a visual receptor cell in the retina that is sensitive to bright light and to color
# id = 05456257-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	visual	wf	JJ	visual%3	visual%3:01:04::	man	2:8
3	receptor	wf	NN	receptor%1	receptor%1:08:00::	man	9:17
4	cell	wf	NN	cell%1	cell%1:03:00::	man	18:22
5	in	wf	IN	in	_	ignore	23:25
6	the	wf	DT	the	_	ignore	26:29
7	retina	wf	NN	retina%1	retina%1:08:00::	auto	30:36
8	that	wf	WDT	that	_	ignore	37:41
9	is	wf	VBZ	i%1|be%2	_	un	42:44
10	sensitive	wf	JJ	sensitive%1|sensitive%3	sensitive%3:00:04::	man	45:54
11	to	wf	TO	to	_	ignore	55:57
12	bright	wf	JJ	bright%3|bright%4	_	un	58:64
13	light	wf	NN	light%1|light%2|light%3|light%4	_	un	65:70
14	and	wf	CC	and	_	ignore	71:74
15	to	wf	TO	to	_	ignore	75:77
16	color	wf	VB	color%1|color%2|color%3	color%1:07:00::	man	78:83

# text = area consisting of a small depression in the retina containing cones and where vision is most acute
# id = 05455375-n-1
# type = def
1	area	wf	NN	area%1	area%1:08:00::	man	0:4
2	consisting	wf	VBG	consist%2	_	un	5:15
3	of	wf	IN	of	_	ignore	16:18
4	a	wf	DT	a	_	ignore	19:20
5	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	21:26
6	depression	wf	NN	depression%1	_	un	27:37
7	in	wf	IN	in	_	ignore	38:40
8	the	wf	DT	the	_	ignore	41:44
9	retina	wf	NN	retina%1	retina%1:08:00::	auto	45:51
10	containing	wf	VBG	contain%2	_	un	52:62
11	cones	wf	NNS	cone%1|cone%2	cone%1:08:00::	man	63:68
12	and	wf	CC	and	_	ignore	69:72
13	where	wf	WRB	where	_	ignore	73:78
14	vision	wf	NN	vision%1	vision%1:09:02::	man	79:85
15	is	wf	VBZ	i%1|be%2	_	un	86:88
16	most	wf	RBS	many%3|most%3|much%3|most%4|much%4	_	un	89:93
17	acute	wf	JJ	acute%1|acute%3	_	un	94:99

# text = a mature sexual reproductive cell having a single set of unpaired chromosomes
# id = 05456945-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	mature	wf	JJ	mature%2|mature%3	mature%3:00:01::	man	2:8
3	sexual	wf	JJ	sexual%3	sexual%3:00:00::	man	9:15
4	_	glob|a	_	reproductive_cell%1	reproductive_cell%1:08:00::	auto	_
5	reproductive	cf|a	JJ	reproductive%3	_	un	16:28
6	cell	cf|a	NN	cell%1	_	un	29:33
7	having	wf	VBG	have%2	_	un	34:40
8	a	wf	DT	a	_	ignore	41:42
9	single	wf	JJ	single%1|single%2|single%3	_	un	43:49
10	set	wf	NN	set%1|set%2|set%3	_	un	50:53
11	of	wf	IN	of	_	ignore	54:56
12	unpaired	wf	JJ	unpaired%3	unpaired%5:00:00:mismatched:00	auto	57:65
13	chromosomes	wf	NNS	chromosome%1	chromosome%1:08:00::	auto	66:77

# text = either of a pair of conjugating gametes of the same size and structure
# id = 05457343-n-1
# type = def
1	either	wf	CC	either	_	ignore	0:6
2	of	wf	IN	of	_	ignore	7:9
3	a	wf	DT	a	_	ignore	10:11
4	pair	wf	NN	pair%1|pair%2	_	un	12:16
5	of	wf	IN	of	_	ignore	17:19
6	conjugating	wf	VBG	conjugate%2	conjugate%2:30:04::	man	20:31
7	gametes	wf	NNS	gamete%1	gamete%1:08:00::	auto	32:39
8	of	wf	IN	of	_	ignore	40:42
9	the	wf	DT	the	_	ignore	43:46
10	same	wf	JJ	same%3	_	un	47:51
11	size	wf	NN	size%1|size%2|size%3	size%1:07:00::	man	52:56
12	and	wf	CC	and	_	ignore	57:60
13	structure	wf	NN	structure%1|structure%2	structure%1:08:00::	man	61:70

# text = a spermatozoon or an ovum; a cell responsible for transmitting DNA to the next generation
# id = 05456732-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	spermatozoon	wf	NN	spermatozoon%1	spermatozoon%1:08:00::	auto	2:14
3	or	wf	CC	or	_	ignore	15:17
4	an	wf	DT	an	_	ignore	18:20
5	ovum	wf	NN	ovum%1	ovum%1:08:00::	auto	21:25
6	;	wf	punc	_	_	ignore	25:26
7	a	wf	DT	a	_	ignore	27:28
8	cell	wf	NN	cell%1	_	un	29:33
9	responsible	wf	JJ	responsible%3	_	un	34:45
10	for	wf	IN	for	_	ignore	46:49
11	transmitting	wf	NN	transmitting%1|transmit%2	_	un	50:62
12	DNA	wf	NNP	DNA	dna%1:27:00::	auto	63:66
13	to	wf	TO	to	_	ignore	67:69
14	the	wf	DT	the	_	ignore	70:73
15	next	wf	JJ	next%3|next%4	_	un	74:78
16	generation	wf	NN	generation%1	_	un	79:89

# text = the female reproductive cell; the female gamete
# id = 05457973-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	female	wf	JJ	female%1|female%3	female%3:00:00::	man	4:10
3	_	glob|a	_	reproductive_cell%1	reproductive_cell%1:08:00::	auto	_
4	reproductive	cf|a	JJ	reproductive%3	_	un	11:23
5	cell	cf|a	NN	cell%1	_	un	24:28
6	;	wf	punc	_	_	ignore	28:29
7	the	wf	DT	the	_	ignore	30:33
8	female	wf	JJ	female%1|female%3	female%3:00:00::	man	34:40
9	gamete	wf	NN	gamete%1	gamete%1:08:00::	auto	41:47

# text = a small or immature ovum
# id = 05458300-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	2:7
3	or	wf	CC	or	_	ignore	8:10
4	immature	wf	JJ	immature%3	_	un	11:19
5	ovum	wf	NN	ovum%1	ovum%1:08:00::	auto	20:24

# text = the male reproductive cell; the male gamete; 
# id = 05457469-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	male	wf	JJ	male%1|male%3	male%3:00:00::	man	4:8
3	_	glob|a	_	reproductive_cell%1	reproductive_cell%1:08:00::	auto	_
4	reproductive	cf|a	JJ	reproductive%3	_	un	9:21
5	cell	cf|a	NN	cell%1	_	un	22:26
6	;	wf	punc	_	_	ignore	26:27
7	the	wf	DT	the	_	ignore	28:31
8	male	wf	JJ	male%1|male%3	male%3:00:00::	man	32:36
9	gamete	wf	NN	gamete%1	gamete%1:08:00::	auto	37:43
10	;	wf	punc	_	_	ignore	43:44

# text = a sperm is mostly a nucleus surrounded by little other cellular material
# id = 05457469-n-2
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	sperm	wf	_	sperm%1	sperm%1:08:00::	auto	2:7
3	is	wf	_	i%1|be%2	_	un	8:10
4	mostly	wf	_	mostly%4	_	un	11:17
5	a	wf	_	a	_	ignore	18:19
6	nucleus	wf	_	nucleus%1	_	un	20:27
7	surrounded	wf	_	surround%2|surrounded%3	_	un	28:38
8	by	wf	_	by	_	ignore	39:41
9	little	wf	_	little%1|little%3|little%4	_	un	42:48
10	other	wf	_	other%3	_	un	49:54
11	cellular	wf	_	cellular%3	_	un	55:63
12	material	wf	_	material%1|material%3	_	un	64:72

# text = a process at the anterior end of a sperm cell that produces enzymes to facilitate penetration of the egg
# id = 05457795-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	process	wf	NN	process%1|process%2	_	un	2:9
3	at	wf	IN	at	_	ignore	10:12
4	the	wf	DT	the	_	ignore	13:16
5	anterior	wf	JJ	anterior%1|anterior%3	anterior%3:00:00::	man	17:25
6	end	wf	NN	end%1|end%2	end%1:15:00::	man	26:29
7	of	wf	IN	of	_	ignore	30:32
8	a	wf	DT	a	_	ignore	33:34
9	_	glob|a	_	sperm_cell%1	sperm_cell%1:08:00::	auto	_
10	sperm	cf|a	NN	sperm%1	_	un	35:40
11	cell	cf|a	NN	cell%1	_	un	41:45
12	that	wf	WDT	that	_	ignore	46:50
13	produces	wf	VBZ	produce%1|produce%2	produce%2:36:03::	man	51:59
14	enzymes	wf	NNS	enzyme%1	enzyme%1:27:00::	auto	60:67
15	to	wf	TO	to	_	ignore	68:70
16	facilitate	wf	VB	facilitate%2	_	un	71:81
17	penetration	wf	NN	penetration%1	penetration%1:04:02::	man	82:93
18	of	wf	IN	of	_	ignore	94:96
19	the	wf	DT	the	_	ignore	97:100
20	egg	wf	NN	egg%1|egg%2	_	un	101:104

# text = a female gametocyte that develops into an ovum after two meiotic divisions
# id = 05458576-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	female	wf	JJ	female%1|female%3	female%3:00:00::	man	2:8
3	gametocyte	wf	NN	gametocyte%1	gametocyte%1:08:00::	auto	9:19
4	that	wf	WDT	that	_	ignore	20:24
5	develops	wf	VBZ	develop%2	_	un	25:33
6	into	wf	IN	into	_	ignore	34:38
7	an	wf	DT	an	_	ignore	39:41
8	ovum	wf	NN	ovum%1	ovum%1:08:00::	auto	42:46
9	after	wf	IN	after%3|after%4	_	un	47:52
10	two	wf	CD	two	_	ignore	53:56
11	meiotic	wf	JJ	meiotic%3	meiotic%3:01:00::	auto	57:64
12	divisions	wf	NNS	division%1	division%1:04:00::	man	65:74

# text = mature ovum after penetration by sperm but before the formation of a zygote
# id = 05458173-n-1
# type = def
1	mature	wf	JJ	mature%2|mature%3	mature%3:00:01::	man	0:6
2	ovum	wf	NN	ovum%1	ovum%1:08:00::	auto	7:11
3	after	wf	IN	after%3|after%4	_	un	12:17
4	penetration	wf	NN	penetration%1	penetration%1:04:02::	man	18:29
5	by	wf	IN	by	_	ignore	30:32
6	sperm	wf	NN	sperm%1	sperm%1:08:00::	auto	33:38
7	but	wf	CC	but	_	ignore	39:42
8	before	wf	IN	before%4	_	un	43:49
9	the	wf	DT	the	_	ignore	50:53
10	formation	wf	NN	formation%1	formation%1:22:00::	man	54:63
11	of	wf	IN	of	_	ignore	64:66
12	a	wf	DT	a	_	ignore	67:68
13	zygote	wf	NN	zygote%1	zygote%1:08:00::	auto	69:75

# text = an immature animal or plant cell that develops into a gamete by meiosis
# id = 05458412-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	immature	wf	JJ	immature%3	_	un	3:11
3	animal	wf	NN	animal%1|animal%3	animal%1:03:00::	man	12:18
4	or	wf	CC	or	_	ignore	19:21
5	plant	wf	NN	plant%1|plant%2	plant%1:03:00::	man	22:27
6	cell	wf	NN	cell%1	_	un	28:32
7	that	wf	WDT	that	_	ignore	33:37
8	develops	wf	VBZ	develop%2	_	un	38:46
9	into	wf	IN	into	_	ignore	47:51
10	a	wf	DT	a	_	ignore	52:53
11	gamete	wf	NN	gamete%1	gamete%1:08:00::	auto	54:60
12	by	wf	IN	by	_	ignore	61:63
13	meiosis	wf	NN	meiosis%1	meiosis%1:22:00::	man	64:71

# text = either of a pair of unlike gametes especially those unlike in size
# id = 05457201-n-1
# type = def
1	either	wf	CC	either	_	ignore	0:6
2	of	wf	IN	of	_	ignore	7:9
3	a	wf	DT	a	_	ignore	10:11
4	pair	wf	NN	pair%1|pair%2	_	un	12:16
5	of	wf	IN	of	_	ignore	17:19
6	unlike	wf	JJ	unlike%3	_	un	20:26
7	gametes	wf	NNS	gamete%1	gamete%1:08:00::	auto	27:34
8	especially	wf	RB	especially%4	especially%4:02:00::	man	35:45
9	those	wf	PRP	those	_	ignore	46:51
10	unlike	wf	JJ	unlike%3	_	un	52:58
11	in	wf	IN	in	_	ignore	59:61
12	size	wf	NN	size%1|size%2|size%3	size%1:07:00::	man	62:66

# text = a male gametocyte that develops into four spermatids
# id = 05458990-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	male	wf	JJ	male%1|male%3	male%3:00:00::	man	2:6
3	gametocyte	wf	NN	gametocyte%1	gametocyte%1:08:00::	auto	7:17
4	that	wf	WDT	that	_	ignore	18:22
5	develops	wf	VBZ	develop%2	_	un	23:31
6	into	wf	IN	into	_	ignore	32:36
7	four	wf	CD	four	_	ignore	37:41
8	spermatids	wf	NNS	spermatid%1	spermatid%1:08:00::	auto	42:52

# text = an immature gamete produced by a spermatocyte; develops into a spermatozoon
# id = 05459101-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	immature	wf	JJ	immature%3	_	un	3:11
3	gamete	wf	NN	gamete%1	gamete%1:08:00::	auto	12:18
4	produced	wf	VBN	produce%2	produce%2:36:03::	man	19:27
5	by	wf	IN	by	_	ignore	28:30
6	a	wf	DT	a	_	ignore	31:32
7	spermatocyte	wf	NN	spermatocyte%1	spermatocyte%1:08:00::	auto	33:45
8	;	wf	punc	_	_	ignore	45:46
9	develops	wf	VBZ	develop%2	_	un	47:55
10	into	wf	IN	into	_	ignore	56:60
11	a	wf	DT	a	_	ignore	61:62
12	spermatozoon	wf	NN	spermatozoon%1	spermatozoon%1:08:00::	auto	63:75

# text = a swelling on the epididymis or the testis; usually contains spermatozoa
# id = 05458859-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	swelling	wf	NN	swelling%1|swell%2	swelling%1:26:00::	man	2:10
3	on	wf	IN	on	_	ignore	11:13
4	the	wf	DT	the	_	ignore	14:17
5	epididymis	wf	NN	epididymis%1	epididymis%1:08:00::	auto	18:28
6	or	wf	CC	or	_	ignore	29:31
7	the	wf	DT	the	_	ignore	32:35
8	testis	wf	NN	testis%1	testis%1:08:00::	auto	36:42
9	;	wf	punc	_	_	ignore	42:43
10	usually	wf	RB	usually%4	usually%4:02:00::	auto	44:51
11	contains	wf	VBZ	contain%2	_	un	52:60
12	spermatozoa	wf	NN	spermatozoon%1	spermatozoon%1:08:00::	auto	61:72

# text = a cell in the testes that secretes the hormone testosterone
# id = 05459457-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	cell	wf	NN	cell%1	cell%1:03:00::	man	2:6
3	in	wf	IN	in	_	ignore	7:9
4	the	wf	DT	the	_	ignore	10:13
5	testes	wf	NNS	testis%1	testis%1:08:00::	auto	14:20
6	that	wf	WDT	that	_	ignore	21:25
7	secretes	wf	VBZ	secrete%2	secrete%2:29:00::	man	26:34
8	the	wf	DT	the	_	ignore	35:38
9	hormone	wf	NN	hormone%1	hormone%1:08:00::	auto	39:46
10	testosterone	wf	NN	testosterone%1	testosterone%1:27:00::	auto	47:59

# text = a small cell containing little cytoplasm that is produced along with the oocyte and later discarded
# id = 05458703-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	2:7
3	cell	wf	NN	cell%1	cell%1:03:00::	man	8:12
4	containing	wf	VBG	contain%2	_	un	13:23
5	little	wf	JJ	little%1|little%3|little%4	_	un	24:30
6	cytoplasm	wf	NN	cytoplasm%1	cytoplasm%1:08:00::	auto	31:40
7	that	wf	WDT	that	_	ignore	41:45
8	is	wf	VBZ	i%1|be%2	_	un	46:48
9	produced	wf	VBN	produce%2	produce%2:36:03::	man	49:57
10	along	wf	RB	along%4	_	ignore	58:63
11	with	wf	IN	with	_	ignore	64:68
12	the	wf	DT	the	_	ignore	69:72
13	oocyte	wf	NN	oocyte%1	oocyte%1:08:00::	auto	73:79
14	and	wf	CC	and	_	ignore	80:83
15	later	wf	RBR	late%3|later%3|late%4|later%4	_	un	84:89
16	discarded	wf	JJ	discard%2|discarded%3	discard%2:40:00::	man	90:99

# text = an elongated contractile cell that forms the muscles of the body
# id = 05459232-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	elongated	wf	JJ	elongate%2|elongated%3	elongated%5:00:00:long:01	man	3:12
3	contractile	wf	JJ	contractile%3	contractile%5:00:00:contracted:00	auto	13:24
4	cell	wf	NN	cell%1	cell%1:03:00::	man	25:29
5	that	wf	WDT	that	_	ignore	30:34
6	forms	wf	VBZ	form%1|form%2	form%2:42:00::	man	35:40
7	the	wf	DT	the	_	ignore	41:44
8	muscles	wf	NNS	muscle%1|muscle%2	muscle%1:08:00::	man	45:52
9	of	wf	IN	of	_	ignore	53:55
10	the	wf	DT	the	_	ignore	56:59
11	body	wf	NN	body%1|body%2	body%1:08:00::	man	60:64

# text = an elongated contractile cell in striated muscle tissue
# id = 05459769-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	elongated	wf	JJ	elongate%2|elongated%3	elongated%5:00:00:long:01	man	3:12
3	contractile	wf	JJ	contractile%3	contractile%5:00:00:contracted:00	auto	13:24
4	cell	wf	NN	cell%1	cell%1:03:00::	man	25:29
5	in	wf	IN	in	_	ignore	30:32
6	_	glob|a	_	striated_muscle_tissue%1	striated_muscle_tissue%1:08:00::	auto	_
7	striated	cf|a	VBN	striate%2	_	un	33:41
8	muscle	cf|a	NN	muscle%1|muscle%2	_	un	42:48
9	tissue	cf|a	NN	tissue%1|tissue%2	_	un	49:55

# text = one of the segments into which a myofibril is divided
# id = 05460163-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	segments	wf	NNS	segment%1|segment%2	segment%1:17:00::	man	11:19
5	into	wf	IN	into	_	ignore	20:24
6	which	wf	WDT	which	_	ignore	25:30
7	a	wf	DT	a	_	ignore	31:32
8	myofibril	wf	NN	myofibril%1	myofibril%1:08:00::	auto	33:42
9	is	wf	VBZ	i%1|be%2	_	un	43:45
10	divided	wf	VBN	divide%2|divided%3	divide%2:41:00::	man	46:53

# text = cells of the smooth muscles
# id = 05460759-n-1
# type = def
1	cells	wf	NNS	cell%1	cell%1:03:00::	man	0:5
2	of	wf	IN	of	_	ignore	6:8
3	the	wf	DT	the	_	ignore	9:12
4	_	glob|a	_	smooth_muscle%1	_	un	_
5	smooth	cf|a	JJ	smooth%1|smooth%2|smooth%3	_	un	13:19
6	muscles	cf|a	NNS	muscle%1|muscle%2	_	un	20:27

# text = the skin and its appendages
# id = 05461179-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	skin	wf	NN	skin%1|skin%2	skin%1:08:00::	man	4:8
3	and	wf	CC	and	_	ignore	9:12
4	its	wf	PRP$	its	_	ignore	13:16
5	appendages	wf	NNS	appendage%1	appendage%1:06:00::	man	17:27

# text = elongated cells found in the seminiferous tubules of the testis; apparently they nourish the spermatids
# id = 05459590-n-1
# type = def
1	elongated	wf	JJ	elongate%2|elongated%3	elongated%5:00:00:long:01	man	0:9
2	cells	wf	NNS	cell%1	cell%1:03:00::	man	10:15
3	found	wf	VBN	found%1|find%2|found%2|found%3	_	un	16:21
4	in	wf	IN	in	_	ignore	22:24
5	the	wf	DT	the	_	ignore	25:28
6	_	glob|a	_	seminiferous_tubule%1	seminiferous_tubule%1:08:00::	auto	_
7	seminiferous	cf|a	JJ	seminiferous%3	_	un	29:41
8	tubules	cf|a	NN	tubule%1	_	un	42:49
9	of	wf	IN	of	_	ignore	50:52
10	the	wf	DT	the	_	ignore	53:56
11	testis	wf	NN	testis%1	testis%1:08:00::	auto	57:63
12	;	wf	punc	_	_	ignore	63:64
13	apparently	wf	RB	apparently%4	apparently%4:02:01::	man	65:75
14	they	wf	PRP	they	_	ignore	76:80
15	nourish	wf	VB	nourish%2	nourish%2:34:00::	man	81:88
16	the	wf	DT	the	_	ignore	89:92
17	spermatids	wf	NNS	spermatid%1	spermatid%1:08:00::	auto	93:103

# text = the muscular system of an organism
# id = 05461816-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	muscular	wf	JJ	muscular%3	muscular%3:01:00::	man	4:12
3	system	wf	NN	system%1	_	un	13:19
4	of	wf	IN	of	_	ignore	20:22
5	an	wf	DT	an	_	ignore	23:25
6	organism	wf	NN	organism%1	organism%1:03:00::	man	26:34

# text = one of many contractile filaments that make up a striated muscle fiber
# id = 05459953-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	many	wf	DT	many	_	ignore	7:11
4	contractile	wf	JJ	contractile%3	contractile%5:00:00:contracted:00	auto	12:23
5	filaments	wf	NNS	filament%1	_	un	24:33
6	that	wf	WDT	that	_	ignore	34:38
7	_	glob|b	_	make_up%2	make_up%2:42:00::	man	_
8	make	cf|b	VB	make%1|make%2	_	un	39:43
9	up	cf|b	RP	up%2|up%3|up%4	_	un	44:46
10	a	wf	DT	a	_	ignore	47:48
11	_	glob|a	_	striated_muscle_fiber%1	striated_muscle_fiber%1:08:00::	auto	_
12	striated	cf|a	VBN	striate%2	_	un	49:57
13	muscle	cf|a	NN	muscle%1|muscle%2	_	un	58:64
14	fiber	cf|a	NN	fiber%1	_	un	65:70

# text = muscle tissue that does not appear striated under the microscope; has the form of thin layers or sheets
# id = 05460291-n-1
# type = def
1	muscle	wf	NN	muscle%1|muscle%2	muscle%1:08:00::	man	0:6
2	tissue	wf	NN	tissue%1|tissue%2	tissue%1:08:00::	man	7:13
3	that	wf	WDT	that	_	ignore	14:18
4	does	wf	VBZ	do%1|doe%1|do%2	_	un	19:23
5	not	wf	RB	not%4	not%4:02:00::	auto	24:27
6	appear	wf	VB	appear%2	_	un	28:34
7	striated	wf	VBN	striate%2	striate%2:30:00::	man	35:43
8	under	wf	IN	under%3|under%4	_	un	44:49
9	the	wf	DT	the	_	ignore	50:53
10	microscope	wf	NN	microscope%1	microscope%1:06:00::	auto	54:64
11	;	wf	punc	_	_	ignore	64:65
12	has	wf	VBZ	have%2	_	un	66:69
13	the	wf	DT	the	_	ignore	70:73
14	form	wf	NN	form%1|form%2	form%1:09:00::	man	74:78
15	of	wf	IN	of	_	ignore	79:81
16	thin	wf	JJ	thin%2|thin%3|thin%4	_	un	82:86
17	layers	wf	NNS	layer%1|layer%2	layer%1:15:00::	man	87:93
18	or	wf	CC	or	_	ignore	94:96
19	sheets	wf	NNS	sheet%1|sheet%2	sheet%1:06:03::	man	97:103

# text = the neural path of a reflex
# id = 05463449-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	neural	wf	JJ	neural%3	neural%3:01:00::|neural%3:01:01::	man	4:10
3	path	wf	NN	path%1	path%1:17:00::	man	11:15
4	of	wf	IN	of	_	ignore	16:18
5	a	wf	DT	a	_	ignore	19:20
6	reflex	wf	NN	reflex%1|reflex%3	reflex%1:04:00::	man	21:27

# text = a widely distributed system of free and fixed macrophages derived from bone marrow
# id = 05461610-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|a	_	widely_distributed%3	widely_distributed%3:00:02::	auto	_
3	widely	cf|a	RB	widely%4	_	un	2:8
4	distributed	cf|a	JJ	distribute%2|distributed%3	_	un	9:20
5	system	wf	NN	system%1	_	un	21:27
6	of	wf	IN	of	_	ignore	28:30
7	free	wf	JJ	free%1|free%2|free%3|free%4	_	un	31:35
8	and	wf	CC	and	_	ignore	36:39
9	fixed	wf	JJ	fix%2|fixed%3	_	un	40:45
10	macrophages	wf	NN	macrophage%1	macrophage%1:08:00::	auto	46:57
11	derived	wf	VBN	derive%2|derived%3	derive%2:30:01::	man	58:65
12	from	wf	IN	from	_	ignore	66:70
13	_	glob|b	_	bone_marrow%1	bone_marrow%1:08:00::	man	_
14	bone	cf|b	JJ	bone%1|bone%2|bone%3	_	un	71:75
15	marrow	cf|b	NN	marrow%1	_	un	76:82

# text = the system of muscles and tendons and ligaments and bones and joints and associated tissues that move the body and maintain its form
# id = 05462057-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	system	wf	NN	system%1	_	un	4:10
3	of	wf	IN	of	_	ignore	11:13
4	muscles	wf	NNS	muscle%1|muscle%2	muscle%1:08:00::	man	14:21
5	and	wf	CC	and	_	ignore	22:25
6	tendons	wf	NNS	tendon%1	tendon%1:08:00::	auto	26:33
7	and	wf	CC	and	_	ignore	34:37
8	ligaments	wf	NNS	ligament%1	ligament%1:08:00::	man	38:47
9	and	wf	CC	and	_	ignore	48:51
10	bones	wf	NNS	bone%1|bones%1|bone%2	bone%1:08:00::	man	52:57
11	and	wf	CC	and	_	ignore	58:61
12	joints	wf	NNS	joint%1|joint%2	joint%1:08:00::	man	62:68
13	and	wf	CC	and	_	ignore	69:72
14	associated	wf	VBN	associate%2	associate%2:31:00::	man	73:83
15	tissues	wf	NNS	tissue%1|tissue%2	tissue%1:08:00::	man	84:91
16	that	wf	WDT	that	_	ignore	92:96
17	move	wf	VBP	move%1|move%2	_	un	97:101
18	the	wf	DT	the	_	ignore	102:105
19	body	wf	NN	body%1|body%2	body%1:08:00::	man	106:110
20	and	wf	CC	and	_	ignore	111:114
21	maintain	wf	VB	maintain%2	_	un	115:123
22	its	wf	PRP$	its	_	ignore	124:127
23	form	wf	NN	form%1|form%2	form%1:08:00::	man	128:132

# text = a structure that is part of the nervous system
# id = 05462674-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	structure	wf	NN	structure%1|structure%2	structure%1:08:00::	man	2:11
3	that	wf	WDT	that	_	ignore	12:16
4	is	wf	VBZ	i%1|be%2	_	un	17:19
5	part	wf	NN	part%1|part%2|part%4	_	un	20:24
6	of	wf	IN	of	_	ignore	25:27
7	the	wf	DT	the	_	ignore	28:31
8	_	glob|a	_	nervous_system%1	nervous_system%1:08:00::	auto	_
9	nervous	cf|a	JJ	nervous%3	_	un	32:39
10	system	cf|a	NN	system%1	_	un	40:46

# text = the sensory and control apparatus consisting of a network of nerve cells
# id = 05462315-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
