# text = neotenic development
# id = 02768421-a-2
# type = ex
1	neotenic	wf	_	neotenic%3	neotenic%3:01:00::	auto	0:8
5	or	wf	CC	or	_	ignore	21:23
6	upper	wf	JJ	upper%1|upper%3	_	un	24:29
7	part	wf	NN	part%1|part%2|part%4	_	un	30:34
8	of	wf	IN	of	_	ignore	35:37
9	;	wf	punc	_	_	ignore	37:38

# text = superscribe an envelope
# id = 01691927-v-2
# type = ex
1	superscribe	wf	_	superscribe%2	superscribe%2:36:00::	auto	0:11
2	an	wf	_	an	_	ignore	12:14
3	envelope	wf	_	envelope%1	_	un	15:23

# text = write a legal document or paper; 
# id = 01690816-v-1
# type = def
1	write	wf	VB	write%2	_	un	0:5
2	a	wf	DT	a	_	ignore	6:7
3	_	glob|a	_	legal_document%1	legal_document%1:10:00::	auto	_
4	legal	cf|a	JJ	legal%3	_	un	8:13
5	document	cf|a	NN	document%1|document%2	_	un	14:22
6	or	wf	CC	or	_	ignore	23:25
7	paper	wf	NN	paper%1|paper%2	paper%1:10:01::	man	26:31
8	;	wf	punc	_	_	ignore	31:32

# text = The deed was drawn in the lawyer's office
# id = 01690816-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	deed	wf	_	deed%1	_	un	4:8
3	was	wf	_	be%2	_	un	9:12
4	drawn	wf	_	draw%2|drawn%3	draw%2:36:07::	auto	13:18
5	in	wf	_	in	_	ignore	19:21
6	the	wf	_	the	_	ignore	22:25
7	lawyer's	wf	_	lawyer%1	_	un	26:34
8	office	wf	_	office%1	_	un	35:41

# text = trace a line through or across; 
# id = 01691798-v-1
# type = def
1	trace	wf	VB	trace%1|trace%2	trace%2:35:00::	man	0:5
2	a	wf	DT	a	_	ignore	6:7
3	line	wf	NN	line%1|line%2	_	un	8:12
4	through	wf	IN	through%3|through%4	_	un	13:20
5	or	wf	CC	or	_	ignore	21:23
6	across	wf	IN	across%4	_	un	24:30
7	;	wf	punc	_	_	ignore	30:31

# text = cross your ‘t’
# id = 01691798-v-2
# type = ex
1	cross	wf	_	cross%1|cross%2|cross%3	cross%2:36:09::	auto	0:5
2	your	wf	_	your	_	ignore	6:10
3	‘	wf	punc	_	_	ignore	11:12
4	t	wf	_	t%1	_	un	12:13
5	’	wf	punc	_	_	ignore	13:14

# text = write on the top or outside; 
# id = 01692096-v-1
# type = def
1	write	wf	VB	write%2	_	un	0:5
2	on	wf	IN	on	_	ignore	6:8
3	the	wf	DT	the	_	ignore	9:12
4	top	wf	NN	top%1|top%2|top%3	_	un	13:16
5	or	wf	CC	or	_	ignore	17:19
6	outside	wf	NN	outside%1|outside%3|outside%4	_	un	20:27
7	;	wf	punc	_	_	ignore	27:28

# text = superscribe one's name and address
# id = 01692096-v-2
# type = ex
1	superscribe	wf	_	superscribe%2	superscribe%2:36:01::	auto	0:11
2	one's	wf	_	one%1	_	un	12:17
3	name	wf	_	name%1|name%2	_	un	18:22
4	and	wf	_	and	_	ignore	23:26
5	address	wf	_	address%1|address%2	_	un	27:34

# text = draw, trace, or represent with charcoal
# id = 01693138-v-1
# type = def
1	draw	wf	VB	draw%1|draw%2	_	un	0:4
2	,	wf	punc	_	_	ignore	4:5
3	trace	wf	VB	trace%1|trace%2	trace%2:35:00::	man	6:11
4	,	wf	punc	_	_	ignore	11:12
5	or	wf	CC	or	_	ignore	13:15
6	represent	wf	VB	represent%2	represent%2:36:01::	man	16:25
7	with	wf	IN	with	_	ignore	26:30
8	charcoal	wf	NN	charcoal%1|charcoal%2|charcoal%3	charcoal%1:06:00::	man	31:39

# text = draw cartoons of
# id = 01693727-v-1
# type = def
1	draw	wf	VB	draw%1|draw%2	_	un	0:4
2	cartoons	wf	NNS	cartoon%1|cartoon%2	cartoon%1:10:00::	man	5:13
3	of	wf	IN	of	_	ignore	14:16

# text = mark or trace on a surface; 
# id = 01691057-v-1
# type = def
1	mark	wf	VB	mark%1|mark%2	mark%2:30:00::	man	0:4
2	or	wf	CC	or	_	ignore	5:7
3	trace	wf	VB	trace%1|trace%2	trace%2:36:00::	man	8:13
4	on	wf	IN	on	_	ignore	14:16
5	a	wf	DT	a	_	ignore	17:18
6	surface	wf	NN	surface%1|surface%2|surface%3	surface%1:06:00::	man	19:26
7	;	wf	punc	_	_	ignore	26:27

# text = The artist wrote Chinese characters on a big piece of white paper
# id = 01691057-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	artist	wf	_	artist%1	_	un	4:10
3	wrote	wf	_	write%2	write%2:36:01::	auto	11:16
4	Chinese	wf	_	Chinese%1|Chinese%3	_	un	17:24
5	characters	wf	_	character%1|character%2	_	un	25:35
6	on	wf	_	on	_	ignore	36:38
7	a	wf	_	a	_	ignore	39:40
8	big	wf	_	big%3|big%4	_	un	41:44
9	piece	wf	_	piece%1|piece%2	_	un	45:50
10	of	wf	_	of	_	ignore	51:53
11	white	wf	_	white%1|white%2|white%3	_	un	54:59
12	paper	wf	_	paper%1|paper%2	_	un	60:65

# text = Russian is written with the Cyrillic alphabet
# id = 01691057-v-3
# type = ex
1	Russian	wf	_	Russian%1|Russian%3	_	un	0:7
2	is	wf	_	i%1|be%2	_	un	8:10
3	written	wf	_	write%2|written%3	write%2:36:01::	auto	11:18
4	with	wf	_	with	_	ignore	19:23
5	the	wf	_	the	_	ignore	24:27
6	Cyrillic	wf	_	Cyrillic%1|Cyrillic%3	_	un	28:36
7	alphabet	wf	_	alphabet%1	_	un	37:45

# text = make a doodle; draw aimlessly
# id = 01693324-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:00::	man	0:4
2	a	wf	DT	a	_	ignore	5:6
3	doodle	wf	NN	doodle%1|doodle%2	doodle%1:06:00::	man	7:13
4	;	wf	punc	_	_	ignore	13:14
5	draw	wf	VB	draw%1|draw%2	_	un	15:19
6	aimlessly	wf	RB	aimlessly%4	aimlessly%4:02:00::	auto	20:29

# text = make a reproduction or copy of
# id = 01694263-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:00::	man	0:4
2	a	wf	DT	a	_	ignore	5:6
3	reproduction	wf	NN	reproduction%1	reproduction%1:06:00::	man	7:19
4	or	wf	CC	or	_	ignore	20:22
5	copy	wf	NN	copy%1|copy%2	_	un	23:27
6	of	wf	IN	of	_	ignore	28:30

# text = create code, write a computer program; 
# id = 01692834-v-1
# type = def
1	create	wf	VB	create%2	create%2:36:00::	man	0:6
2	code	wf	NN	code%1|code%2	_	un	7:11
3	,	wf	punc	_	_	ignore	11:12
4	write	wf	VB	write%2	_	un	13:18
5	a	wf	DT	a	_	ignore	19:20
6	_	glob|a	_	computer_program%1	computer_program%1:10:00::	auto	_
7	computer	cf|a	NN	computer%1	_	un	21:29
8	program	cf|a	NN	program%1|program%2	_	un	30:37
9	;	wf	punc	_	_	ignore	37:38

# text = She writes code faster than anybody else
# id = 01692834-v-2
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	writes	wf	_	write%2	write%2:36:10::	auto	4:10
3	code	wf	_	code%1|code%2	_	un	11:15
4	faster	wf	_	fast%3|fast%4|faster%4	_	un	16:22
5	than	wf	_	than	_	ignore	23:27
6	anybody	wf	_	anybody	_	ignore	28:35
7	else	wf	_	else	_	un	36:40

# text = make a schematic or technical drawing of that shows interactions among variables or how something is constructed
# id = 01693453-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:00::	man	0:4
2	a	wf	DT	a	_	ignore	5:6
3	_	glob|a	_	schematic_drawing%1	schematic_drawing%1:06:00::	man	_
4	schematic	cf|a	JJ	schematic%1|schematic%3	_	un	7:16
5	or	wf	CC	or	_	ignore	17:19
6	technical	wf	JJ	technical%1|technical%3	_	un	20:29
7	drawing	cf|a	NN	drawing%1|draw%2	_	un	30:37
8	of	wf	IN	of	_	ignore	38:40
9	that	wf	WDT	that	_	ignore	41:45
10	shows	wf	VBZ	show%1|show%2	show%2:39:00::	man	46:51
11	interactions	wf	NN	interaction%1	_	un	52:64
12	among	wf	IN	among	_	ignore	65:70
13	variables	wf	NNS	variable%1	_	un	71:80
14	or	wf	CC	or	_	ignore	81:83
15	how	wf	WRB	how	_	ignore	84:87
16	something	wf	PRP	something	_	ignore	88:97
17	is	wf	VBZ	i%1|be%2	_	un	98:100
18	constructed	wf	VBN	construct%2	_	un	101:112

# text = make a replica of; 
# id = 01693881-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:00::	man	0:4
2	a	wf	DT	a	_	ignore	5:6
3	replica	wf	NN	replica%1	replica%1:06:00::	auto	7:14
4	of	wf	IN	of	_	ignore	15:17
5	;	wf	punc	_	_	ignore	17:18

# text = copy that drawing
# id = 01693881-v-2
# type = ex
1	copy	wf	_	copy%1|copy%2	copy%2:36:01::	auto	0:4
2	that	wf	_	that	_	ignore	5:9
3	drawing	wf	_	drawing%1|draw%2	_	un	10:17

# text = re-create a picture by Rembrandt
# id = 01693881-v-3
# type = ex
1	re-create	wf	_	re-create%2	re-create%2:36:01::	auto	0:9
2	a	wf	_	a	_	ignore	10:11
3	picture	wf	_	picture%1|picture%2	_	un	12:19
4	by	wf	_	by	_	ignore	20:22
5	Rembrandt	wf	_	Rembrandt%1	_	un	23:32

# text = write in shorthand; 
# id = 01691506-v-1
# type = def
1	write	wf	VB	write%2	_	un	0:5
2	in	wf	IN	in	_	ignore	6:8
3	shorthand	wf	NN	shorthand%1|shorthand%3	shorthand%1:10:00::	man	9:18
4	;	wf	punc	_	_	ignore	18:19

# text = The students were able to stenograph and record the conversation
# id = 01691506-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	students	wf	_	student%1	_	un	4:12
3	were	wf	_	be%2	_	un	13:17
4	able	wf	_	able%3	_	un	18:22
5	to	wf	_	to	_	ignore	23:25
6	stenograph	wf	_	stenograph%1|stenograph%2	stenograph%2:36:00::	auto	26:36
7	and	wf	_	and	_	ignore	37:40
8	record	wf	_	record%1|record%2	_	un	41:47
9	the	wf	_	the	_	ignore	48:51
10	conversation	wf	_	conversation%1	_	un	52:64

# text = make copies on a Roneograph
# id = 01695459-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:00::	man	0:4
2	copies	wf	NNS	copy%1|copy%2	_	un	5:11
3	on	wf	IN	on	_	ignore	12:14
4	a	wf	DT	a	_	ignore	15:16
5	Roneograph	wf	NNP	Roneograph%1	roneograph%1:06:00::	auto	17:27

# text = copy on a duplicator; 
# id = 01694850-v-1
# type = def
1	copy	wf	VB	copy%1|copy%2	_	un	0:4
2	on	wf	IN	on	_	ignore	5:7
3	a	wf	DT	a	_	ignore	8:9
4	duplicator	wf	NN	duplicator%1	duplicator%1:06:00::	auto	10:20
5	;	wf	punc	_	_	ignore	20:21

# text = hectograph the hand-outs
# id = 01694850-v-2
# type = ex
1	hectograph	wf	_	hectograph%1|hectograph%2	hectograph%2:36:00::	auto	0:10
2	the	wf	_	the	_	ignore	11:14
3	hand	wf	_	hand%1|hand%2	_	un	15:19
4	outs	wf	_	out%1|out%2	_	un	20:24

# text = copy again; 
# id = 01695143-v-1
# type = def
1	copy	wf	VB	copy%1|copy%2	_	un	0:4
2	again	wf	RB	again%4	again%4:02:00::	auto	5:10
3	;	wf	punc	_	_	ignore	10:11

# text = The child had to recopy the homework
# id = 01695143-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	child	wf	_	child%1	_	un	4:9
3	had	wf	_	have%2	_	un	10:13
4	to	wf	_	to	_	ignore	14:16
5	recopy	wf	_	recopy%2	recopy%2:36:00::	auto	17:23
6	the	wf	_	the	_	ignore	24:27
7	homework	wf	_	homework%1	_	un	28:36

# text = make multiple identical copies of; 
# id = 01694984-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:00::	man	0:4
2	multiple	wf	JJ	multiple%1|multiple%3	multiple%3:00:00::	man	5:13
3	identical	wf	JJ	identical%3	identical%5:00:00:same:00	man	14:23
4	copies	wf	NNS	copy%1|copy%2	_	un	24:30
5	of	wf	IN	of	_	ignore	31:33
6	;	wf	punc	_	_	ignore	33:34

# text = people can clone a sheep nowadays
# id = 01694984-v-2
# type = ex
1	people	wf	_	people%1|people%2	_	un	0:6
2	can	wf	_	can%1|can%2	_	un	7:10
3	clone	wf	_	clone%1|clone%2	clone%2:36:00::	auto	11:16
4	a	wf	_	a	_	ignore	17:18
5	sheep	wf	_	sheep%1	_	un	19:24
6	nowadays	wf	_	nowadays%1|nowadays%4	_	un	25:33

# text = mark letters on or mark with letters
# id = 01692443-v-1
# type = def
1	mark	wf	VB	mark%1|mark%2	mark%2:30:00::	man	0:4
2	letters	wf	NNS	letter%1|letters%1|letter%2	letter%1:10:01::	man	5:12
3	on	wf	IN	on	_	ignore	13:15
4	or	wf	CC	or	_	ignore	16:18
5	mark	wf	VB	mark%1|mark%2	mark%2:30:00::	man	19:23
6	with	wf	IN	with	_	ignore	24:28
7	letters	wf	NNS	letter%1|letters%1|letter%2	letter%1:10:01::	man	29:36

# text = set down or print with letters
# id = 01692579-v-1
# type = def
1	_	glob|a	_	set_down%2	set_down%2:32:00::	man	_
2	set	cf|a	VB	set%1|set%2|set%3	_	un	0:3
3	down	cf|a	RB	down%1|down%2|down%3|down%4	_	un	4:8
4	or	wf	CC	or	_	ignore	9:11
5	print	wf	VB	print%1|print%2	_	un	12:17
6	with	wf	IN	with	_	ignore	18:22
7	letters	wf	NNS	letter%1|letters%1|letter%2	letter%1:10:01::	man	23:30

# text = make a veinlike pattern
# id = 01696350-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:00::	man	0:4
2	a	wf	DT	a	_	ignore	5:6
3	veinlike	wf	JJ	veinlike%3	veinlike%5:00:00:patterned:00	auto	7:15
4	pattern	wf	NN	pattern%1|pattern%2	_	un	16:23

# text = paint with watercolors
# id = 01696435-v-1
# type = def
1	paint	wf	VB	paint%1|paint%2	paint%2:36:01::	man	0:5
2	with	wf	IN	with	_	ignore	6:10
3	watercolors	wf	NNS	watercolor%1|watercolor%2	watercolor%1:06:01::|watercolor%1:27:00::	man	11:22

# text = represent the effect of shade or shadow on
# id = 01695567-v-1
# type = def
1	represent	wf	VB	represent%2	represent%2:36:01::	man	0:9
2	the	wf	DT	the	_	ignore	10:13
3	effect	wf	NN	effect%1|effect%2	_	un	14:20
4	of	wf	IN	of	_	ignore	21:23
5	shade	wf	NN	shade%1|shade%2	shade%1:06:01::	man	24:29
6	or	wf	CC	or	_	ignore	30:32
7	shadow	wf	NN	shadow%1|shadow%2	shadow%1:26:01::	man	33:39
8	on	wf	IN	on	_	ignore	40:42

# text = make a copy of (a computer file) especially for storage in another place as a security copy; 
# id = 01694620-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:00::	man	0:4
2	a	wf	DT	a	_	ignore	5:6
3	copy	wf	NN	copy%1|copy%2	_	un	7:11
4	of	wf	IN	of	_	ignore	12:14
5	_	aux	_	_	_	_	_
6	(	wf	punc	_	_	ignore	15:16
7	a	wf	DT	a	_	ignore	16:17
8	_	glob|b	_	computer_file%1	computer_file%1:10:00::	man	_
9	computer	cf|b	NN	computer%1	_	un	18:26
10	file	cf|b	NN	file%1|file%2	_	un	27:31
11	)	wf	punc	_	_	ignore	31:32
12	_	aux	_	_	_	_	_
13	especially	wf	RB	especially%4	_	ignore	33:43
14	for	wf	IN	for	_	ignore	44:47
15	storage	wf	NN	storage%1	storage%1:04:00::	man	48:55
16	in	wf	IN	in	_	ignore	56:58
17	another	wf	DT	another	_	ignore	59:66
18	place	wf	NN	place%1|place%2	place%1:15:00::	man	67:72
19	as	wf	IN	as	_	ignore	73:75
20	a	wf	DT	a	_	ignore	76:77
21	security	wf	NN	security%1	security%1:04:00::	man	78:86
22	copy	wf	NN	copy%1|copy%2	copy%1:06:00::	man	87:91
23	;	wf	punc	_	_	ignore	91:92

# text = You'd better back up these files!
# id = 01694620-v-2
# type = ex
1	You	wf	_	you	_	ignore	0:3
2	'd	wf	_	have|do|would|should	_	un	3:5
3	better	wf	_	better%1|better%2|better%3|good%3|well%3|better%4|well%4	_	un	6:12
4	_	glob|a	_	back_up%2	back_up%2:36:00::	auto	_
5	back	cf|a	_	back%1|back%2|back%3|back%4	_	un	13:17
6	up	cf|a	_	up%2|up%3|up%4	_	un	18:20
7	these	wf	_	these	_	ignore	21:26
8	files	wf	_	file%1|file%2	_	un	27:32
9	!	wf	punc	_	_	ignore	32:33

# text = print copies from (a prepared stencil) using a mimeograph; 
# id = 01695257-v-1
# type = def
1	print	wf	VB	print%1|print%2	_	un	0:5
2	copies	wf	NNS	copy%1|copy%2	_	un	6:12
3	from	wf	IN	from	_	ignore	13:17
4	_	aux	_	_	_	_	_
5	(	wf	punc	_	_	ignore	18:19
6	a	wf	DT	a	_	ignore	19:20
7	prepared	wf	JJ	prepare%2|prepared%3	_	un	21:29
8	stencil	wf	NN	stencil%1|stencil%2	stencil%1:06:00::	man	30:37
9	)	wf	punc	_	_	ignore	37:38
10	_	aux	_	_	_	_	_
11	using	wf	VBG	using%1|use%2	_	un	39:44
12	a	wf	DT	a	_	ignore	45:46
13	mimeograph	wf	NN	mimeograph%1|mimeograph%2	mimeograph%1:06:00::	man	47:57
14	;	wf	punc	_	_	ignore	57:58

# text = She mimeographed the syllabus
# id = 01695257-v-2
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	mimeographed	wf	_	mimeograph%2	mimeograph%2:36:00::	auto	4:16
3	the	wf	_	the	_	ignore	17:20
4	syllabus	wf	_	syllabus%1	syllabus%1:10:00::	man	21:29

# text = mark into squares or draw squares on; draw crossed lines on
# id = 01692978-v-1
# type = def
1	mark	wf	VB	mark%1|mark%2	mark%2:30:00::	man	0:4
2	into	wf	IN	into	_	ignore	5:9
3	squares	wf	NNS	square%1|square%2	_	un	10:17
4	or	wf	CC	or	_	ignore	18:20
5	draw	wf	VBP	draw%1|draw%2	_	un	21:25
6	squares	wf	NNS	square%1|square%2	_	un	26:33
7	on	wf	IN	on	_	ignore	34:36
8	;	wf	punc	_	_	ignore	36:37
9	draw	wf	VB	draw%1|draw%2	_	un	38:42
10	crossed	wf	JJ	cross%2|crossed%3	crossed%3:00:01::	man	43:50
11	lines	wf	NNS	line%1|line%2	_	un	51:56
12	on	wf	IN	on	_	ignore	57:59

# text = copy by following the lines of the original drawing on a transparent sheet placed upon it; make a tracing of; 
# id = 01694376-v-1
# type = def
1	copy	wf	VB	copy%1|copy%2	_	un	0:4
2	by	wf	IN	by	_	ignore	5:7
3	following	wf	VBG	following%1|follow%2|following%3	_	un	8:17
4	the	wf	DT	the	_	ignore	18:21
5	lines	wf	NNS	line%1|line%2	line%1:10:01::	man	22:27
6	of	wf	IN	of	_	ignore	28:30
7	the	wf	DT	the	_	ignore	31:34
8	original	wf	JJ	original%1|original%3	_	un	35:43
9	drawing	wf	NN	drawing%1|draw%2	_	un	44:51
10	on	wf	IN	on	_	ignore	52:54
11	a	wf	DT	a	_	ignore	55:56
12	transparent	wf	JJ	transparent%3	transparent%5:00:00:thin:01|transparent%5:00:00:clear:02	man	57:68
13	sheet	wf	NN	sheet%1|sheet%2	sheet%1:10:00::	man	69:74
14	placed	wf	VBN	place%2|placed%3	place%2:40:00::	man	75:81
15	upon	wf	IN	upon	_	ignore	82:86
16	it	wf	PRP	it	_	ignore	87:89
17	;	wf	punc	_	_	ignore	89:90
18	make	wf	VB	make%1|make%2	make%2:36:00::	man	91:95
19	a	wf	DT	a	_	ignore	96:97
20	tracing	wf	NN	tracing%1|trace%2	tracing%1:06:00::	man	98:105
21	of	wf	IN	of	_	ignore	106:108
22	;	wf	punc	_	_	ignore	108:109

# text = trace a design
# id = 01694376-v-2
# type = ex
1	trace	wf	_	trace%1|trace%2	trace%2:36:00::	auto	0:5
2	a	wf	_	a	_	ignore	6:7
3	design	wf	_	design%1|design%2	_	un	8:14

# text = trace a pattern
# id = 01694376-v-3
# type = ex
1	trace	wf	_	trace%1|trace%2	trace%2:36:00::	auto	0:5
2	a	wf	_	a	_	ignore	6:7
3	pattern	wf	_	pattern%1|pattern%2	_	un	8:15

# text = represent by making a drawing of, as with a pencil, chalk, etc. on a surface; 
# id = 01690294-v-1
# type = def
1	represent	wf	VB	represent%2	represent%2:36:01::	man	0:9
2	by	wf	IN	by	_	ignore	10:12
3	making	wf	VBG	making%1|make%2	make%2:36:09::	man	13:19
4	a	wf	DT	a	_	ignore	20:21
5	drawing	wf	NN	drawing%1|draw%2	_	un	22:29
6	of	wf	IN	of	_	ignore	30:32
7	,	wf	punc	_	_	ignore	32:33
8	as	wf	RB	as	_	ignore	34:36
9	with	wf	IN	with	_	ignore	37:41
10	a	wf	DT	a	_	ignore	42:43
11	pencil	wf	NN	pencil%1|pencil%2	pencil%1:06:00::	man	44:50
12	,	wf	punc	_	_	ignore	50:51
13	chalk	wf	NN	chalk%1|chalk%2	chalk%1:06:00::	man	52:57
14	,	wf	punc	_	_	ignore	57:58
15	etc.	wf	RB	etc.	etc.%4:02:00::	auto	59:63
16	on	wf	IN	on	_	ignore	64:66
17	a	wf	DT	a	_	ignore	67:68
18	surface	wf	NN	surface%1|surface%2|surface%3	surface%1:06:00::	man	69:76
19	;	wf	punc	_	_	ignore	76:77

# text = She drew an elephant
# id = 01690294-v-2
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	drew	wf	_	draw%2	draw%2:36:00::	auto	4:8
3	an	wf	_	an	_	ignore	9:11
4	elephant	wf	_	elephant%1	elephant%1:05:00::	man	12:20

# text = Draw me a horse
# id = 01690294-v-3
# type = ex
1	Draw	wf	_	draw%1|draw%2	draw%2:36:00::	auto	0:4
2	me	wf	_	me	_	ignore	5:7
3	a	wf	_	a	_	ignore	8:9
4	horse	wf	_	horse%1|horse%2	_	un	10:15

# text = write, draw, or trace with a crayon
# id = 01692709-v-1
# type = def
1	write	wf	VB	write%2	_	un	0:5
2	,	wf	punc	_	_	ignore	5:6
3	draw	wf	VB	draw%1|draw%2	_	un	7:11
4	,	wf	punc	_	_	ignore	11:12
5	or	wf	CC	or	_	ignore	13:15
6	trace	wf	VB	trace%1|trace%2	trace%2:35:00::	man	16:21
7	with	wf	IN	with	_	ignore	22:26
8	a	wf	DT	a	_	ignore	27:28
9	crayon	wf	NN	crayon%1|crayon%2	crayon%1:06:00::	man	29:35

# text = shade with multiple crossing lines; 
# id = 01695976-v-1
# type = def
1	shade	wf	VB	shade%1|shade%2	shade%2:36:00::	man	0:5
2	with	wf	IN	with	_	ignore	6:10
3	multiple	wf	JJ	multiple%1|multiple%3	multiple%3:00:00::	man	11:19
4	crossing	wf	NN	crossing%1|cross%2	cross%2:38:03::	man	20:28
5	lines	wf	NNS	line%1|line%2	_	un	29:34
6	;	wf	punc	_	_	ignore	34:35

# text = the draftsman crosshatched the area
# id = 01695976-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	draftsman	wf	_	draftsman%1	_	un	4:13
3	crosshatched	wf	_	crosshatch%2|crosshatched%3	crosshatch%2:36:00::	auto	14:26
4	the	wf	_	the	_	ignore	27:30
5	area	wf	_	area%1	_	un	31:35

# text = coin new slogans
# id = 01698152-v-1
# type = def
1	coin	wf	VB	coin%1|coin%2	coin%2:36:01::	man	0:4
2	new	wf	JJ	new%3|new%4	_	un	5:8
3	slogans	wf	NNS	slogan%1	slogan%1:10:00::	auto	9:16

# text = paint with red lead or vermilion
# id = 01696893-v-1
# type = def
1	paint	wf	VB	paint%1|paint%2	paint%2:36:01::	man	0:5
2	with	wf	IN	with	_	ignore	6:10
3	_	glob|a	_	red_lead%1	red_lead%1:27:00::	auto	_
4	red	cf|a	JJ	red%1|red%3	_	un	11:14
5	lead	cf|a	NN	lead%1|lead%2	_	un	15:19
6	or	wf	CC	or	_	ignore	20:22
7	vermilion	wf	NN	vermilion%1|vermilion%2|vermilion%3	vermilion%1:07:00::	man	23:32

# text = mark with spots or blotches of different color or shades of color as if stained
# id = 01696135-v-1
# type = def
1	mark	wf	VB	mark%1|mark%2	mark%2:30:00::	man	0:4
2	with	wf	IN	with	_	ignore	5:9
3	spots	wf	NNS	spot%1|spots%1|spot%2	_	un	10:15
4	or	wf	CC	or	_	ignore	16:18
5	blotches	wf	VBZ	blotch%1|blotch%2	blotch%1:07:00::	man	19:27
6	of	wf	IN	of	_	ignore	28:30
7	different	wf	JJ	different%3	_	un	31:40
8	color	wf	NN	color%1|color%2|color%3	color%1:07:00::	man	41:46
9	or	wf	CC	or	_	ignore	47:49
10	shades	wf	NNS	shade%1|shades%1|shade%2	shade%1:07:00::	man	50:56
11	of	wf	IN	of	_	ignore	57:59
12	color	wf	NN	color%1|color%2|color%3	color%1:07:00::	man	60:65
13	as	wf	IN	as	_	ignore	66:68
14	if	wf	IN	if	_	ignore	69:71
15	stained	wf	JJ	stain%2|stained%3	stain%2:30:01::	man	72:79

# text = write lyrics for (a song)
# id = 01698916-v-1
# type = def
1	write	wf	VB	write%2	_	un	0:5
2	lyrics	wf	NN	lyric%1|lyric%2	lyric%1:10:01::	man	6:12
3	for	wf	IN	for	_	ignore	13:16
4	_	aux	_	_	_	_	_
5	(	wf	punc	_	_	ignore	17:18
6	a	wf	DT	a	_	ignore	18:19
7	song	wf	NN	song%1	song%1:10:00::	man	20:24
8	)	wf	punc	_	_	ignore	24:25
9	_	aux	_	_	_	_	_

# text = decorate with colors; 
# id = 01696648-v-1
# type = def
1	decorate	wf	VB	decorate%2	decorate%2:36:00::	man	0:8
2	with	wf	IN	with	_	ignore	9:13
3	colors	wf	NNS	color%1|colors%1|color%2	color%1:27:00::	man	14:20
4	;	wf	punc	_	_	ignore	20:21

# text = color the walls with paint in warm tones
# id = 01696648-v-2
# type = ex
1	color	wf	_	color%1|color%2|color%3	color%2:36:01::	auto	0:5
2	the	wf	_	the	_	ignore	6:9
3	walls	wf	_	wall%1|wall%2	_	un	10:15
4	with	wf	_	with	_	ignore	16:20
5	paint	wf	_	paint%1|paint%2	_	un	21:26
6	in	wf	_	in	_	ignore	27:29
7	warm	wf	_	warm%2|warm%3|warm%4	_	un	30:34
8	tones	wf	_	tone%1|tone%2	_	un	35:40

# text = create with or from words
# id = 01697816-v-1
# type = def
1	create	wf	VB	create%2	create%2:36:00::	man	0:6
2	with	wf	IN	with	_	ignore	7:11
3	or	wf	CC	or	_	ignore	12:14
4	from	wf	IN	from	_	ignore	15:19
5	words	wf	NNS	word%1|words%1|word%2	words%1:10:04::	man	20:25

# text = construct a model of; 
# id = 01697406-v-1
# type = def
1	construct	wf	VB	construct%1|construct%2	_	un	0:9
2	a	wf	DT	a	_	ignore	10:11
3	model	wf	NN	model%1|model%2|model%3	model%1:06:00::	man	12:17
4	of	wf	IN	of	_	ignore	18:20
5	;	wf	punc	_	_	ignore	20:21

# text = model an airplane
# id = 01697406-v-2
# type = ex
1	model	wf	_	model%1|model%2|model%3	model%2:36:01::	auto	0:5
2	an	wf	_	an	_	ignore	6:8
3	airplane	wf	_	airplane%1	_	un	9:17

# text = make by small short touches that together produce an even or softly graded shadow, as in paint or ink
# id = 01695773-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:09::	man	0:4
2	by	wf	IN	by	_	ignore	5:7
3	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	8:13
4	short	wf	JJ	short%1|short%2|short%3|short%4	short%3:00:01::	man	14:19
5	touches	wf	NNS	touch%1|touch%2	touch%1:04:00::	man	20:27
6	that	wf	WDT	that	_	ignore	28:32
7	together	wf	RB	together%3|together%4	_	un	33:41
8	produce	wf	VB	produce%1|produce%2	produce%2:36:03::	man	42:49
9	an	wf	DT	an	_	ignore	50:52
10	even	wf	NN	even%1|even%2|even%3|even%4	even%3:00:01::	man	53:57
